sweep,loss,step,evaluations,weights
0,0.3818843448169812,0.4,1,"[0.06094341595088627, -0.20799682124809912, 0.15009023916129147, 0.1881129432782428]"
1,0.0987303179201627,0.4,9,"[0.06094341595088627, 0.1920031787519009, 0.15009023916129147, 0.1881129432782428]"
2,0.00819288597193475,0.4,17,"[0.06094341595088627, 0.5920031787519009, 0.15009023916129147, 0.1881129432782428]"
3,0.00819288597193475,0.4,25,"[0.06094341595088627, 0.5920031787519009, 0.15009023916129147, 0.1881129432782428]"
4,8.602414919790613e-05,0.2,33,"[-0.13905658404911375, 0.5920031787519009, -0.049909760838708545, -0.011887056721757217]"
5,8.580912834395961e-05,0.2,41,"[0.06094341595088626, 0.5920031787519009, -0.049909760838708545, -0.011887056721757217]"
6,8.580912834395961e-05,0.2,49,"[0.06094341595088626, 0.5920031787519009, -0.049909760838708545, -0.011887056721757217]"
7,8.580912834395961e-05,0.1,57,"[0.06094341595088626, 0.5920031787519009, -0.049909760838708545, -0.011887056721757217]"
8,8.13080015411122e-05,0.05,65,"[0.010943415950886257, 0.5920031787519009, 9.023916129145826e-05, -0.011887056721757217]"
9,8.13080015411122e-05,0.05,73,"[0.010943415950886257, 0.5920031787519009, 9.023916129145826e-05, -0.011887056721757217]"
10,5.949623636923571e-05,0.025,81,"[0.010943415950886257, 0.5920031787519009, 9.023916129145826e-05, 0.013112943278242785]"
11,5.949623636923571e-05,0.025,89,"[0.010943415950886257, 0.5920031787519009, 9.023916129145826e-05, 0.013112943278242785]"
12,1.1714830748927496e-05,0.0125,97,"[-0.001556584049113744, 0.6045031787519008, 0.012590239161291459, 0.0006129432782427842]"
13,1.141738159646654e-05,0.0125,105,"[-0.001556584049113744, 0.6045031787519008, 0.02509023916129146, 0.0006129432782427842]"
14,1.1030742735413428e-05,0.0125,113,"[0.010943415950886257, 0.6045031787519008, 0.037590239161291464, 0.0006129432782427842]"
15,1.0716947234027076e-05,0.0125,121,"[0.023443415950886257, 0.6045031787519008, 0.05009023916129146, 0.0006129432782427842]"
16,1.0702305443918073e-05,0.0125,129,"[0.03594341595088626, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
17,1.0702014889881983e-05,0.0125,137,"[0.04844341595088626, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
18,1.0701747876725336e-05,0.0125,145,"[0.06094341595088626, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
19,1.0701490554094698e-05,0.0125,153,"[0.07344341595088626, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
20,1.0700994293402508e-05,0.0125,161,"[0.08594341595088625, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
21,1.0700595612331407e-05,0.0125,169,"[0.09844341595088625, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
22,1.0699946713941286e-05,0.0125,177,"[0.11094341595088625, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
23,1.069947660416742e-05,0.0125,185,"[0.12344341595088625, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
24,1.0698909702634584e-05,0.0125,193,"[0.13594341595088624, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
25,1.0698313524893635e-05,0.0125,201,"[0.14844341595088625, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
26,1.0697648715425715e-05,0.0125,209,"[0.16094341595088626, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
27,1.0697031219060266e-05,0.0125,217,"[0.17344341595088628, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
28,1.069619822208612e-05,0.0125,225,"[0.1859434159508863, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
29,1.0695606070372964e-05,0.0125,233,"[0.1984434159508863, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
30,1.0694818580425025e-05,0.0125,241,"[0.2109434159508863, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
31,1.0693839954107845e-05,0.0125,249,"[0.22344341595088632, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
32,1.0692969996268175e-05,0.0125,257,"[0.23594341595088633, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
33,1.069202825243887e-05,0.0125,265,"[0.24844341595088634, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
34,1.0691048317476578e-05,0.0125,273,"[0.2609434159508863, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
35,1.069017416426256e-05,0.0125,281,"[0.27344341595088634, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
36,1.0688875380986092e-05,0.0125,289,"[0.28594341595088635, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
37,1.0687994983818543e-05,0.0125,297,"[0.29844341595088636, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
38,1.0686843955281122e-05,0.0125,305,"[0.31094341595088637, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
39,1.0685634465665342e-05,0.0125,313,"[0.3234434159508864, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
40,1.0684300729400991e-05,0.0125,321,"[0.3359434159508864, 0.6045031787519008, 0.06259023916129146, 0.0006129432782427842]"
